global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,flightroom_071353_q00,green_clock,green clock,33.00118376543925,269,1,1,0.2713166739419669,0,0,goal_reached
2,0,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-36.52690774108641,211,0,0,0.3318134569907948,0,1,collision
3,0,flightroom_071353_q01,green_clock,green clock,26.87411556801862,365,1,1,0.3650184870595701,0,0,goal_reached
4,0,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,22.41331690262938,234,1,1,0.4517735951982564,0,0,goal_reached
5,1,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.318700284589795,237,1,1,0.3323786219425484,0,0,goal_reached
6,1,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,31.828513435479074,272,1,1,0.45181836264536357,0,0,goal_reached
7,1,flightroom_071353_q00,green_clock,green clock,32.20683359603633,249,1,1,0.40931684906338334,0,0,goal_reached
8,1,flightroom_071353_q01,green_clock,green clock,-5.898568271861942,670,0,0,0.4051544511284905,0,0,timeout
9,2,flightroom_071353_q01,green_clock,green clock,-40.53644883458056,284,0,0,1.8007247496713654,0,1,collision
10,2,flightroom_071353_q00,green_clock,green clock,33.541378111002935,252,1,1,0.19830040330554513,0,0,goal_reached
11,2,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,12.898980877477651,189,1,1,0.2678316860578919,0,0,goal_reached
12,2,flightroom_071353_q02,green_clock,green clock,16.14822002196003,148,1,1,0.28949790402680825,0,0,goal_reached
13,3,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-46.97809122467129,35,0,0,1.2287798986456502,0,1,collision
14,3,flightroom_071353_q03,green_clock,green clock,16.085356667766163,138,1,1,0.4032844998834361,0,0,goal_reached
15,3,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.192301356589976,224,1,1,0.23093714614135724,0,0,goal_reached
16,3,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.826922344380467,175,1,1,0.3690382972393446,0,0,goal_reached
17,4,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,35.50774354908574,339,1,1,0.3828969395973168,0,0,goal_reached
18,4,flightroom_071353_q02,green_clock,green clock,15.246025770949686,187,1,1,0.3705386611326061,0,0,goal_reached
19,4,flightroom_071353_q03,green_clock,green clock,16.817481388850513,138,1,1,0.34888624754781566,0,0,goal_reached
20,4,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,16.790741954112296,226,1,1,0.35480259741331766,0,0,goal_reached
21,5,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.551862002534232,416,1,1,0.4442364738113781,0,0,goal_reached
22,5,flightroom_071718_q03,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,8.595696909973743,281,1,1,0.43694960140474076,0,0,goal_reached
23,5,flightroom_071353_q01,green_clock,green clock,-1.509805450791987,670,0,0,0.06274821468989993,0,0,timeout
24,5,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.35817611385367,295,1,1,0.4833821762820743,0,0,goal_reached
25,6,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,25.71951818775668,240,1,1,0.2850831568893946,0,0,goal_reached
26,6,flightroom_071353_q00,green_clock,green clock,32.27949916835333,245,1,1,0.23691593983526113,0,0,goal_reached
27,6,flightroom_071353_q03,green_clock,green clock,15.573576086883419,130,1,1,0.34583854780970563,0,0,goal_reached
28,6,flightroom_071353_q02,green_clock,green clock,15.84972152336043,146,1,1,0.39639064891405035,0,0,goal_reached
