iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha
0,ppo,11.44042712375021,269.75,0.75,0.11801376165822149,19.8464528799057,-4.313766932487487,7.00723659992218,6.81848177909851,,,
1,ppo,18.863869761060815,357.0,0.75,0.1936840939645966,3.5508762846390405,-4.287888487180074,14.050642251968384,11.179635763168335,,,
2,ppo,5.513032543965013,218.25,0.75,0.12959626340307295,23.441102415323257,-4.262734562158585,13.643384039402008,12.102837800979614,,,
3,ppo,1.7816222860163293,143.0,0.75,0.1592333655183514,38.71277689933777,-4.2495144208272295,15.637163321177164,15.080965360005697,,,
4,ppo,21.09049816574956,222.5,1.0,0.3181351935490966,1.725951187312603,-4.237553030252457,9.470750868320465,9.42395767569542,,,
5,ppo,14.248982393892415,415.5,0.75,0.24479624096836364,3.632753155061177,-4.212824327605111,20.4342748437609,13.449730140822274,,,
6,ppo,22.355578741588467,190.25,1.0,0.3534973015387853,2.9663825631141663,-4.185202717781067,14.533555587132772,12.199014266331991,,,
7,ppo,11.199268758120745,321.25,0.75,0.3076980657254656,4.948277587691943,-4.166534880797069,15.433839499950409,14.300547818342844,,,
8,ppo,21.833311855020522,214.75,1.0,0.3198584336787462,0.8547859881073236,-4.145509034395218,18.470603942871094,9.872268170118332,,,
9,ppo,3.2529267123475933,254.0,0.75,0.1391903618350625,19.308642596006393,-4.128872096538544,11.969343304634094,15.57030874490738,,,
10,ppo,3.2314548127809823,294.75,0.75,0.19008821621537209,9.533850502967834,-4.112753248214721,7.706244993209839,13.805147218704224,,,
11,ppo,20.031174279271987,179.25,1.0,0.3602036287387212,1.496369977792104,-4.097660462061564,13.074712832768759,13.51662564277649,,,
12,ppo,15.9315789390052,382.25,0.75,0.24029860366135836,3.592881361643473,-4.081612567106883,7.3305715918540955,8.424469232559204,,,
13,ppo,20.42365387312058,228.5,1.0,0.33500373363494873,1.802162293344736,-4.063966691493988,8.176646888256073,8.7589490711689,,,
14,ppo,22.17840704572059,200.25,1.0,0.30716207064688206,0.5481251981109381,-4.0499782264232635,8.459964334964752,12.616631209850311,,,
15,ppo,0.3463987555598722,117.5,0.75,0.15336525812745094,44.028374671936035,-4.038265824317932,11.519316911697388,19.19998836517334,,,
16,ppo,21.13134585472106,210.75,1.0,0.22501137619838119,0.7452378068119287,-4.025779336690903,13.620193243026733,17.161297082901,,,
17,ppo,8.13186315022335,167.75,0.75,0.22291913100828728,22.82923762003581,-4.007797678311666,13.520297686258951,19.216379245122273,,,
18,ppo,24.561109772902206,215.75,1.0,0.2975326618179679,3.0272742211818695,-3.9956559389829636,5.954136520624161,14.79643052816391,,,
19,ppo,24.091236857304864,230.5,1.0,0.2520464062690735,1.0709502678364515,-3.9812150299549103,13.089321911334991,15.359345257282257,,,
