global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,flightroom_071353_q00,green_clock,green clock,32.96736924326883,269,1,1,0.2827664198752394,0,0,goal_reached
2,0,flightroom_071353_q70,green_clock,green clock,18.41504290685488,247,1,1,0.31040284618254366,0,0,goal_reached
3,0,flightroom_071353_q35,green_clock,green clock,15.42859480372977,261,1,1,0.2756868710080509,0,0,goal_reached
4,0,flightroom_071353_q10,green_clock,green clock,14.930064133968578,128,1,1,0.4245350835442741,0,0,goal_reached
5,1,flightroom_071353_q03,green_clock,green clock,16.183927108365502,139,1,1,0.41715504221548316,0,0,goal_reached
6,1,flightroom_071353_q01,green_clock,green clock,-49.20405472435577,458,0,0,1.8415876272269318,0,1,collision
7,1,flightroom_071353_q35,green_clock,green clock,-54.53299926072376,322,0,0,1.5514308204500193,0,1,collision
8,1,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.14061729150061,282,1,1,0.45929886134253667,0,0,goal_reached
9,2,flightroom_071353_q70,green_clock,green clock,2.620904104364649,527,1,1,0.048118252503651086,0,0,goal_reached
10,2,flightroom_071353_q95,green_clock,green clock,22.041906226313746,185,1,1,0.4551692159456036,0,0,goal_reached
11,2,flightroom_071353_q50,green_clock,green clock,18.148013105073467,174,1,1,0.3169486777848213,0,0,goal_reached
12,2,flightroom_071718_q50,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,12.926523431190596,127,1,1,0.1697127569891283,0,0,goal_reached
13,3,flightroom_071718_q50,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,12.729032212965537,150,1,1,0.23805389768224666,0,0,goal_reached
14,3,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.771396921078573,274,1,1,0.47835669644776363,0,0,goal_reached
15,3,flightroom_071353_q02,green_clock,green clock,14.410627544557759,241,1,1,0.2849613047539872,0,0,goal_reached
16,3,flightroom_071718_q02,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,23.614280437812198,209,1,1,0.26161741404963423,0,0,goal_reached
17,4,flightroom_071353_q03,green_clock,green clock,15.102723065882802,132,1,1,0.4111487454228009,0,0,goal_reached
18,4,flightroom_071353_q70,green_clock,green clock,-9.741887600629015,670,0,0,0.17376057995935448,0,0,timeout
19,4,flightroom_071718_q35,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-10.589776549489965,670,0,0,0.21318987933038075,0,0,timeout
20,4,flightroom_071353_q50,green_clock,green clock,18.35904150585103,166,1,1,0.33469547517766385,0,0,goal_reached
21,5,flightroom_071353_q95,green_clock,green clock,23.30410613656239,192,1,1,0.4497679355941956,0,0,goal_reached
22,5,flightroom_071353_q70,green_clock,green clock,-10.312260429020654,670,0,0,0.386660678370241,0,0,timeout
