global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,flightroom_071353_q00,green_clock,green clock,32.96736924326883,269,1,1,0.2827664198752394,0,0,goal_reached
2,0,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,33.10964291787006,306,1,1,0.4481034746057807,0,0,goal_reached
3,0,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-36.00733579799102,217,0,0,0.37112661864168683,0,1,collision
4,0,flightroom_071353_q01,green_clock,green clock,21.58479760980667,497,1,1,0.4004877421530852,0,0,goal_reached
5,1,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.508334495887933,269,1,1,0.4986352440409162,0,0,goal_reached
6,1,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.867079287006902,223,1,1,0.29864748935734786,0,0,goal_reached
7,1,flightroom_071353_q01,green_clock,green clock,25.27710635895886,232,1,1,0.1977646276107036,0,0,goal_reached
8,1,flightroom_071353_q00,green_clock,green clock,31.606946998055477,251,1,1,0.46022414869963313,0,0,goal_reached
9,2,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.552575092664764,270,1,1,0.4730574248715889,0,0,goal_reached
10,2,flightroom_071353_q00,green_clock,green clock,31.63334240153877,251,1,1,0.4607398532267398,0,0,goal_reached
11,2,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,17.40146694408742,222,1,1,0.28455576747601624,0,0,goal_reached
12,2,flightroom_071353_q01,green_clock,green clock,-38.8802966264687,92,0,0,3.3024536854761046,0,1,collision
13,3,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.37151983172243,230,1,1,0.22369245119073697,0,0,goal_reached
14,3,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.61094725959927,272,1,1,0.4909635816967558,0,0,goal_reached
15,3,flightroom_071353_q01,green_clock,green clock,1.6925438827912878,670,0,0,0.08192795620210949,0,0,timeout
16,3,flightroom_071353_q00,green_clock,green clock,31.55212789669376,253,1,1,0.4696354725366686,0,0,goal_reached
17,4,flightroom_071353_q00,green_clock,green clock,31.39662010868939,249,1,1,0.42957488994988996,0,0,goal_reached
18,4,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.417013189326944,270,1,1,0.488977067471569,0,0,goal_reached
19,4,flightroom_071353_q01,green_clock,green clock,23.561830375997985,523,1,1,0.33832982996351585,0,0,goal_reached
20,4,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,19.20349651842657,231,1,1,0.1822107882511183,0,0,goal_reached
21,5,flightroom_071353_q01,green_clock,green clock,-39.74687285039411,90,0,0,3.5237726475944515,0,1,collision
22,5,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.206519804723534,224,1,1,0.21209177721052155,0,0,goal_reached
23,5,flightroom_071353_q00,green_clock,green clock,31.651739360338965,247,1,1,0.4391557416935108,0,0,goal_reached
24,5,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.53957578180489,300,1,1,0.4685937449110236,0,0,goal_reached
25,6,flightroom_071353_q00,green_clock,green clock,33.19238335353433,271,1,1,0.28552522662379604,0,0,goal_reached
26,6,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,33.107116537972956,311,1,1,0.4696126094248243,0,0,goal_reached
27,6,flightroom_071353_q01,green_clock,green clock,16.512609597894915,429,1,1,0.16916522997872366,0,0,goal_reached
28,6,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.39627433288228,228,1,1,0.23636436546766965,0,0,goal_reached
29,7,flightroom_071353_q01,green_clock,green clock,-39.698782687153994,90,0,0,3.5150021767480757,0,1,collision
30,7,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.843360632562575,226,1,1,0.1840900803269738,0,0,goal_reached
31,7,flightroom_071353_q00,green_clock,green clock,33.308362711564584,275,1,1,0.2402134163436175,0,0,goal_reached
32,7,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.619021372220054,271,1,1,0.4990100068255049,0,0,goal_reached
33,8,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,18.2664939101848,225,1,1,0.22885357596307224,0,0,goal_reached
34,8,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,30.69117916010716,272,1,1,0.48070184579312447,0,0,goal_reached
35,8,flightroom_071353_q00,green_clock,green clock,33.093779191832525,269,1,1,0.28350538947904463,0,0,goal_reached
36,8,flightroom_071353_q01,green_clock,green clock,24.97622542596442,337,1,1,0.2867806757295893,0,0,goal_reached
37,9,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,31.055763938313994,273,1,1,0.44698269950917574,0,0,goal_reached
38,9,flightroom_071353_q01,green_clock,green clock,25.82038099137558,354,1,1,0.27663118248728236,0,0,goal_reached
39,9,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,20.31896128294983,304,1,1,0.2015478011623248,0,0,goal_reached
40,9,flightroom_071353_q00,green_clock,green clock,31.728127507221103,252,1,1,0.4604913327105453,0,0,goal_reached
41,10,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,32.46534722238596,322,1,1,0.4569241164238588,0,0,goal_reached
42,10,flightroom_071353_q01,green_clock,green clock,26.069356432089865,334,1,1,0.23295437578559605,0,0,goal_reached
43,10,flightroom_071353_q00,green_clock,green clock,33.056365874691224,270,1,1,0.29223702325890255,0,0,goal_reached
44,10,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-35.533993629575654,224,0,0,0.2891538889183721,0,1,collision
45,11,flightroom_071718_q00,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,36.4980882734459,355,1,1,0.4778471206480414,0,0,goal_reached
46,11,flightroom_071718_q01,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-35.689440297838125,220,0,0,0.3513901547878842,0,1,collision
47,11,flightroom_071353_q00,green_clock,green clock,33.19537091848818,272,1,1,0.29579846456365533,0,0,goal_reached
48,11,flightroom_071353_q01,green_clock,green clock,25.757656538190876,352,1,1,0.2581086134770295,0,0,goal_reached
