iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha,bc_mse
0,sac,20.772963472753514,232.25,1.0,0.0,,,,0.0,0.007769077550619841,0.08017195016145706,0.0,0.0
1,sac,21.64726581806118,205.25,1.0,0.0,,,,0.0,0.2505144476890564,0.3014492392539978,0.0,0.0
2,sac,9.818786026711095,282.75,0.75,0.0,,,,0.0,0.1240754947066307,0.17033961415290833,0.0,0.0
3,sac,19.05158938545775,247.5,1.0,0.0,,,,0.0,0.23722945153713226,0.27214232087135315,0.0,0.0
4,sac,2.2149627416235953,151.5,0.75,0.0,,,,0.0,0.008360845036804676,0.03195953369140625,0.0,0.0
5,sac,21.274945384392705,292.5,1.0,2.3458104133605957,,,,0.0,0.13003899157047272,0.1474001556634903,0.0,0.02424074336886406
6,sac,19.768472552519388,220.75,1.0,2.3941025733947754,,,,0.0,0.012941577471792698,0.023827003315091133,0.0,0.021238181740045547
7,sac,21.850162711548975,214.0,1.0,2.3381388187408447,,,,0.0,0.11930876225233078,0.13371603190898895,0.0,0.026730116456747055
8,sac,18.512169633354016,222.5,1.0,2.4108316898345947,,,,0.0,0.2130972295999527,0.22859057784080505,0.0,0.030834967270493507
9,sac,7.2323389966940335,224.25,0.75,2.3335771560668945,,,,0.0,0.015173984691500664,0.02406771294772625,0.0,0.03505426645278931
10,sac,-2.523154219319416,423.0,0.5,2.375261068344116,,,,0.0,0.016718214377760887,0.023186076432466507,0.0,0.04077296704053879
11,sac,-16.25192043944476,339.75,0.25,2.43715238571167,,,,0.0,0.11705683171749115,0.1371636837720871,0.0,0.04936113953590393
12,sac,-20.59887403341265,451.5,0.25,2.351118803024292,,,,0.0,0.10764530301094055,0.12746812403202057,0.0,0.05948851630091667
13,sac,-21.243408839322413,327.5,0.25,2.490100860595703,,,,0.0,0.12336483597755432,0.12839359045028687,0.0,0.07042117416858673
14,sac,-6.89924851642294,364.75,0.5,2.4751834869384766,,,,0.0,9.626802444458008,9.738424301147461,0.0,0.08275607973337173
15,sac,1.3300173308542558,343.0,0.5,2.3653621673583984,,,,0.0,0.017531324177980423,0.027410907670855522,0.0,0.08205074071884155
16,sac,0.25229230018688753,406.5,0.5,2.5485963821411133,,,,0.0,0.12228573113679886,0.13128311932086945,0.0,0.09325025975704193
17,sac,0.6107166099720853,124.25,0.75,2.4533514976501465,,,,0.0,0.12126971781253815,0.13646534085273743,0.0,0.08935734629631042
18,sac,3.60627857071562,147.0,0.75,2.537907123565674,,,,0.0,0.13741160929203033,0.1424817442893982,0.0,0.09883449226617813
19,sac,-3.954642696271888,177.75,0.5,2.498544454574585,,,,0.0,0.0373525507748127,0.043859705328941345,0.0,0.09049788117408752
