global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,fr_071353_q162,green_and_pink_leafblower,green and pink leafblower,24.938868668761362,192,1,1,0.2785557809782937,0,0,goal_reached
2,0,fr_071718_q009,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,-49.08062015052713,23,0,0,2.1842265858978815,0,1,collision
3,0,fr_071353_q027,green_clock,green clock,18.37823848653231,231,1,1,0.3961153921428655,0,0,goal_reached
4,0,fr_071718_q126,human_mannequin,human mannequin,12.761528415478624,110,1,1,0.4609881045635651,0,0,goal_reached
5,1,fr_071718_q072,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,7.301550631293268,75,1,1,0.4410017314799168,0,0,goal_reached
6,1,fr_071718_q063,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,25.448871213252602,354,1,1,0.48570389082982207,0,0,goal_reached
7,1,fr_071718_q018,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,12.412813629606774,129,1,1,0.40787530351838974,0,0,goal_reached
8,1,fr_071353_q189,green_and_pink_leafblower,green and pink leafblower,-41.380946529350595,79,0,0,2.0299825001992065,0,1,collision
9,2,fr_071353_q207,green_and_pink_leafblower,green and pink leafblower,23.51601431801648,207,1,1,0.1738377004942176,0,0,goal_reached
10,2,fr_071718_q108,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,28.427565009229028,264,1,1,0.37050220939633133,0,0,goal_reached
11,2,fr_071718_q207,human_mannequin,human mannequin,39.90456207867482,312,1,1,0.46462695977430896,0,0,goal_reached
12,2,fr_071353_q216,green_and_pink_leafblower,green and pink leafblower,-9.040654302263212,670,0,0,0.21759695752656574,0,0,timeout
13,3,fr_071353_q018,green_clock,green clock,8.746894376329774,85,1,1,0.43946961109225213,0,0,goal_reached
14,3,fr_071353_q171,green_and_pink_leafblower,green and pink leafblower,14.27117836101653,128,1,1,0.4151561420746078,0,0,goal_reached
15,3,fr_071718_q162,human_mannequin,human mannequin,30.00367757435057,670,0,0,1.508551986226166,0,0,timeout
16,3,fr_071718_q090,yellow_handheld_cordless_drill_on_two_boxes,yellow handheld cordless drill on two boxes,25.116373727455596,219,1,1,0.43252280610589317,0,0,goal_reached
17,4,fr_071718_q180,human_mannequin,human mannequin,-41.31046334221823,81,0,0,6.559778738592401,0,1,collision
18,4,fr_071718_q162,human_mannequin,human mannequin,36.64276731849698,290,1,1,0.42400279747115427,0,0,goal_reached
