iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha,bc_mse
0,sac,1.7495038550612914,139.0,0.75,0.0,,,,0.0,0.012719603255391121,0.06257104128599167,0.0,0.0
1,sac,0.9455722362005119,159.25,0.75,0.0,,,,0.0,8.993135452270508,9.40710735321045,0.0,0.0
2,sac,20.70187177591428,363.25,0.75,0.0,,,,0.0,9.159509658813477,9.445555686950684,0.0,0.0
3,sac,19.534531009788118,275.5,0.75,0.0,,,,0.0,0.04024052992463112,0.0896027609705925,0.0,0.0
4,sac,3.0255833668225254,329.25,0.5,0.0,,,,0.0,0.14012382924556732,0.16455891728401184,0.0,0.0
5,sac,12.247786187243111,339.0,0.75,0.0,,,,0.0,1.4830533266067505,1.5499603748321533,0.0,0.0
6,sac,18.32309980956792,262.25,0.75,0.0,,,,0.0,0.14145314693450928,0.17077359557151794,0.0,0.0
7,sac,8.324706706905502,329.75,0.5,0.0,,,,0.0,0.1348028928041458,0.14214801788330078,0.0,0.0
8,sac,17.885279555513684,205.25,1.0,0.0,,,,0.0,0.13619057834148407,0.14776024222373962,0.0,0.0
9,sac,7.737822021415809,174.5,0.75,0.0,,,,0.0,0.2595258951187134,0.26772207021713257,0.0,0.0
10,sac,-8.531021148167348,247.0,0.5,0.0,,,,0.0,0.13075169920921326,0.14538536965847015,0.0,0.0
11,sac,1.6000875492266746,121.0,0.75,0.0,,,,0.0,0.013452015817165375,0.028576478362083435,0.0,0.0
12,sac,4.06680567304348,137.75,0.75,0.0,,,,0.0,0.3389870524406433,0.35797667503356934,0.0,0.0
13,sac,19.295855305911857,160.75,1.0,0.0,,,,0.0,1.5040204524993896,1.517615556716919,0.0,0.0
14,sac,21.545038645040734,175.5,1.0,0.0,,,,0.0,1.63228440284729,1.639440894126892,0.0,0.0
15,sac,10.059041223453178,210.25,0.75,0.0,,,,0.0,0.1227450892329216,0.134797602891922,0.0,0.0
16,sac,25.31068419906648,216.75,1.0,0.0,,,,0.0,0.11767856776714325,0.12672623991966248,0.0,0.0
17,sac,16.643696758953713,145.5,1.0,0.0,,,,0.0,0.14830848574638367,0.15090516209602356,0.0,0.0
18,sac,16.439249893636447,142.33333333333334,1.0,0.0,,,,0.0,0.16076605021953583,0.16062834858894348,0.0,0.0
19,sac,23.671141245857257,212.25,1.0,0.0,,,,0.0,0.12163369357585907,0.13009589910507202,0.0,0.0
20,sac,23.79605031704324,239.0,1.0,0.0,,,,0.0,1.4684251546859741,1.5092912912368774,0.0,0.0
21,sac,4.218524697148898,155.5,0.75,0.0,,,,0.0,9.434149742126465,9.478562355041504,0.0,0.0
22,sac,26.23436054225655,206.25,1.0,0.0,,,,0.0,0.12075915187597275,0.14242637157440186,0.0,0.0
23,sac,21.5325085643564,194.66666666666666,1.0,0.0,,,,0.0,0.016966858878731728,0.023237843066453934,0.0,0.0
24,sac,22.092949864280428,190.25,1.0,0.0,,,,0.0,10.225933074951172,10.222533226013184,0.0,0.0
25,sac,15.400640583631287,145.0,1.0,2.2994604110717773,,,,0.0,0.13415628671646118,0.1388368308544159,0.0,0.023409496992826462
26,sac,9.207689980992324,346.25,0.75,2.378279447555542,,,,0.0,0.018505852669477463,0.02163044549524784,0.0,0.025418253615498543
27,sac,17.488157222615964,203.0,1.0,2.0905404090881348,,,,0.0,1.491464614868164,1.4920055866241455,0.0,0.03647196292877197
28,sac,-19.020691478502165,175.75,0.5,2.3866569995880127,,,,0.0,0.018108978867530823,0.029319308698177338,0.0,0.0451730452477932
29,sac,3.6223430126198957,421.75,0.5,2.2005298137664795,,,,0.0,0.012705538421869278,0.021609356626868248,0.0,0.058834053575992584
30,sac,-9.165800864815235,422.0,0.25,2.412245035171509,,,,0.0,0.018473409116268158,0.026241734623908997,0.0,0.08319475501775742
31,sac,7.383527844198034,410.25,0.5,2.1518468856811523,,,,0.0,0.017644312232732773,0.029468195512890816,0.0,0.11222919076681137
32,sac,-13.621060247694171,130.75,0.5,2.4096689224243164,,,,0.0,0.022562697529792786,0.028475096449255943,0.0,0.14809958636760712
33,sac,-10.879003144601558,278.5,0.5,2.2149229049682617,,,,0.0,0.03220280259847641,0.03251470625400543,0.0,0.19046857953071594
34,sac,-16.641528216597465,670.0,0.0,2.479257106781006,,,,0.0,0.23873960971832275,0.2516101896762848,0.0,0.238229900598526
35,sac,-27.684574141960105,395.0,0.0,2.513270854949951,,,,0.0,0.02346358820796013,0.03683997690677643,0.0,0.28532519936561584
36,sac,0.3875219473500344,516.0,0.5,2.5286648273468018,,,,0.0,0.03638666123151779,0.04668903723359108,0.0,0.2806130051612854
37,sac,-603.3137785799138,670.0,0.0,2.5468125343322754,,,,0.0,0.3800319731235504,0.38791483640670776,0.0,0.29075196385383606
38,sac,-2.4639428432622736,298.5,0.5,2.5658626556396484,,,,0.0,0.561063826084137,0.568574070930481,0.0,0.27824103832244873
39,sac,21.407863582226266,512.0,0.5,2.5661730766296387,,,,0.0,0.54536372423172,0.5524393916130066,0.0,0.27650994062423706
40,sac,6.831776556604892,332.5,0.75,2.491131544113159,,,,0.0,0.23801444470882416,0.22483493387699127,0.0,0.25584372878074646
41,sac,-50.33399845679832,220.5,0.5,2.5664584636688232,,,,0.0,0.42932626605033875,0.4247394800186157,0.0,0.249444842338562
42,sac,11.648915339828344,530.25,0.5,2.4177441596984863,,,,0.0,0.2696042060852051,0.2812879681587219,0.0,0.2418147325515747
43,sac,-66.78421499116038,383.0,0.25,2.607234001159668,,,,0.0,0.23523209989070892,0.24649900197982788,0.0,0.2555546760559082
44,sac,-18.69693225714515,544.75,0.25,2.462322235107422,,,,0.0,1.659738540649414,1.6588196754455566,0.0,0.2502250075340271
