global_episode,iteration,rollout_name,semantic_target,course,return,steps,success,goal_settled,final_pos_err_m,start_idx,collision,termination
1,0,fr_071353_q00026,green_clock,green clock,-18.991253423841115,670,0,0,0.24338601128965115,0,0,timeout
2,0,fr_071353_q00215,green_and_pink_leafblower,green and pink leafblower,-18.280502988407886,670,0,0,0.2215725058607208,0,0,timeout
3,0,fr_071353_q00174,green_and_pink_leafblower,green and pink leafblower,-12.20941539073647,670,0,0,0.16323851702552455,0,0,timeout
4,0,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-22.16605160907997,670,0,0,0.3004956021953628,0,0,timeout
5,1,fr_071353_q00161,green_and_pink_leafblower,green and pink leafblower,-603.4346817810773,295,0,0,4.091933332354196,0,1,collision
6,1,fr_071353_q00187,green_and_pink_leafblower,green and pink leafblower,-3.7557566551998285,670,0,0,0.1441989816211847,0,0,timeout
7,1,fr_071353_q00021,green_clock,green clock,13.618324622611627,139,1,1,0.3622876656707853,0,0,goal_reached
8,1,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-21.256116031209586,670,0,0,0.2584160978571878,0,0,timeout
9,2,fr_071353_q00026,green_clock,green clock,-22.310580422700625,670,0,0,0.7254996504853432,0,0,timeout
10,2,fr_071353_q00215,green_and_pink_leafblower,green and pink leafblower,-22.226924183834882,670,0,0,0.20459868964967237,0,0,timeout
11,2,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,18.043342301320777,143,1,1,0.15554497191733924,0,0,goal_reached
12,2,fr_071353_q00199,green_and_pink_leafblower,green and pink leafblower,-16.20730483706771,670,0,0,0.30883992599163984,0,0,timeout
13,3,fr_071353_q00001,green_clock,green clock,22.57965193127766,359,1,1,0.26672891589549125,0,0,goal_reached
14,3,fr_071353_q00115,green_and_pink_leafblower,green and pink leafblower,-49.072526285254554,19,0,0,3.59439145431692,0,1,collision
15,3,fr_071353_q00036,green_clock,green clock,-20.407759357888587,670,0,0,0.7077221884157643,0,0,timeout
16,3,fr_071353_q00008,green_clock,green clock,8.740502510317304,75,1,1,0.4046405491994014,0,0,goal_reached
17,4,fr_071353_q00211,green_and_pink_leafblower,green and pink leafblower,-4.423176720262957,670,0,0,0.21173063340154666,0,0,timeout
18,4,fr_071353_q00196,green_and_pink_leafblower,green and pink leafblower,-2240.298816423475,670,0,0,3.944656365229883,0,0,timeout
19,4,fr_071353_q00070,green_clock,green clock,14.143128346262513,305,1,1,0.43713523633110274,0,0,goal_reached
20,4,fr_071353_q00150,green_and_pink_leafblower,green and pink leafblower,-4.210489162402096,670,0,0,0.2312297587791962,0,0,timeout
21,5,fr_071353_q00021,green_clock,green clock,10.79868866409782,119,1,1,0.4099819906340333,0,0,goal_reached
22,5,fr_071353_q00036,green_clock,green clock,10.482693446097613,308,1,1,0.494820297495083,0,0,goal_reached
23,5,fr_071353_q00197,green_and_pink_leafblower,green and pink leafblower,-7.651427040009972,670,0,0,0.14844925968639583,0,0,timeout
24,5,fr_071353_q00150,green_and_pink_leafblower,green and pink leafblower,27.947258872690583,261,1,1,0.04942349257770095,0,0,goal_reached
25,6,fr_071353_q00088,green_clock,green clock,15.330616051941043,261,1,1,0.3685173655160033,0,0,goal_reached
26,6,fr_071353_q00196,green_and_pink_leafblower,green and pink leafblower,-2110.45308738166,645,0,0,3.8040640428566537,0,1,collision
27,6,fr_071353_q00219,green_and_pink_leafblower,green and pink leafblower,-21.091242504250626,670,0,0,0.22721256945833643,0,0,timeout
28,6,fr_071353_q00153,green_and_pink_leafblower,green and pink leafblower,-16.547658361776207,670,0,0,0.16422776155764154,0,0,timeout
29,7,fr_071353_q00187,green_and_pink_leafblower,green and pink leafblower,-4.4000809395058,670,0,0,0.20337034145358404,0,0,timeout
30,7,fr_071353_q00109,green_clock,green clock,11.173096129275736,159,1,1,0.4210891707379412,0,0,goal_reached
31,7,fr_071353_q00161,green_and_pink_leafblower,green and pink leafblower,-2387.295374701177,670,0,0,2.418708397968983,0,0,timeout
32,7,fr_071353_q00215,green_and_pink_leafblower,green and pink leafblower,-21.061287908115926,670,0,0,0.1375001357734272,0,0,timeout
33,8,fr_071353_q00109,green_clock,green clock,9.409458468086921,88,1,1,0.45886360989642666,0,0,goal_reached
34,8,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,19.55942250648778,184,1,1,0.1442897707273965,0,0,goal_reached
35,8,fr_071353_q00021,green_clock,green clock,9.91974182949022,95,1,1,0.44776535432529474,0,0,goal_reached
36,8,fr_071353_q00125,green_and_pink_leafblower,green and pink leafblower,23.240713483902987,190,1,1,0.1991004789488664,0,0,goal_reached
37,9,fr_071353_q00070,green_clock,green clock,16.459717961385902,146,1,1,0.38144858287859534,0,0,goal_reached
38,9,fr_071353_q00150,green_and_pink_leafblower,green and pink leafblower,25.70326645776031,209,1,1,0.19752835055447615,0,0,goal_reached
39,9,fr_071353_q00110,green_and_pink_leafblower,green and pink leafblower,28.621762549994095,252,1,1,0.21750784000295695,0,0,goal_reached
40,9,fr_071353_q00026,green_clock,green clock,-16.053101664771724,670,0,0,0.19740580388280154,0,0,timeout
41,10,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-22.42898960351233,670,0,0,0.20977557855277335,0,0,timeout
42,10,fr_071353_q00150,green_and_pink_leafblower,green and pink leafblower,-3.351490191522281,670,0,0,0.17238974336046978,0,0,timeout
43,10,fr_071353_q00051,green_clock,green clock,24.933537827490596,189,1,1,0.3173904328430291,0,0,goal_reached
44,10,fr_071353_q00187,green_and_pink_leafblower,green and pink leafblower,-3.898167888945398,670,0,0,0.14657423363199595,0,0,timeout
45,11,fr_071353_q00069,green_clock,green clock,-11.741795211830523,670,0,0,0.18587414199456356,0,0,timeout
46,11,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,-11.92306611904791,670,0,0,0.08755600839352079,0,0,timeout
47,11,fr_071353_q00076,green_clock,green clock,11.270091907674498,91,1,1,0.2312548022661026,0,0,goal_reached
48,11,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-23.197781865247343,670,0,0,0.2802647304286873,0,0,timeout
49,12,fr_071353_q00125,green_and_pink_leafblower,green and pink leafblower,24.312097001891395,241,1,1,0.18735764909077568,0,0,goal_reached
50,12,fr_071353_q00109,green_clock,green clock,9.391742738641534,88,1,1,0.4709565733875593,0,0,goal_reached
51,12,fr_071353_q00219,green_and_pink_leafblower,green and pink leafblower,-21.026075148500475,670,0,0,0.12823366868204242,0,0,timeout
52,12,fr_071353_q00148,green_and_pink_leafblower,green and pink leafblower,-1218.5343468561166,670,0,0,2.27140507967155,0,0,timeout
53,13,fr_071353_q00115,green_and_pink_leafblower,green and pink leafblower,-49.033857507740144,19,0,0,3.588486732954788,0,1,collision
54,13,fr_071353_q00155,green_and_pink_leafblower,green and pink leafblower,-3.060782197343837,670,0,0,0.19989609216797893,0,0,timeout
55,13,fr_071353_q00139,green_and_pink_leafblower,green and pink leafblower,13.903870621441563,132,1,1,0.1611246698529006,0,0,goal_reached
56,13,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,-13.910575377604383,670,0,0,0.2426488389989403,0,0,timeout
57,14,fr_071353_q00155,green_and_pink_leafblower,green and pink leafblower,-3.588824980026981,670,0,0,0.279084153262176,0,0,timeout
58,14,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-24.39463872828756,670,0,0,0.42110894133429905,0,0,timeout
59,14,fr_071353_q00008,green_clock,green clock,9.780591254471348,72,1,1,0.30548961722229173,0,0,goal_reached
60,14,fr_071353_q00115,green_and_pink_leafblower,green and pink leafblower,-49.06098783596075,19,0,0,3.5906931395819477,0,1,collision
61,15,fr_071353_q00138,green_and_pink_leafblower,green and pink leafblower,-2221.0043083381743,670,0,0,2.558347955675602,0,0,timeout
62,15,fr_071353_q00196,green_and_pink_leafblower,green and pink leafblower,-2.702843766535839,670,0,0,0.22094391364870147,0,0,timeout
63,15,fr_071353_q00199,green_and_pink_leafblower,green and pink leafblower,-47.331941862855786,25,0,0,2.1904286832462003,0,1,collision
64,15,fr_071353_q00115,green_and_pink_leafblower,green and pink leafblower,-49.012121476124605,20,0,0,3.5639272436198555,0,1,collision
65,16,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,-12.702817532762086,670,0,0,0.0645030564034537,0,0,timeout
66,16,fr_071353_q00218,green_and_pink_leafblower,green and pink leafblower,-8.572745600440708,670,0,0,0.13059531165370813,0,0,timeout
67,16,fr_071353_q00217,green_and_pink_leafblower,green and pink leafblower,-14.973103710835954,670,0,0,0.2342301021111433,0,0,timeout
68,16,fr_071353_q00138,green_and_pink_leafblower,green and pink leafblower,-19.823673443665363,670,0,0,0.09925615186886587,0,0,timeout
69,17,fr_071353_q00043,green_clock,green clock,25.230104988946042,196,1,1,0.3152763202664359,0,0,goal_reached
70,17,fr_071353_q00110,green_and_pink_leafblower,green and pink leafblower,28.47009738353588,257,1,1,0.24723287918020062,0,0,goal_reached
71,17,fr_071353_q00198,green_and_pink_leafblower,green and pink leafblower,-9.421917198149432,670,0,0,0.42263263244398175,0,0,timeout
72,17,fr_071353_q00148,green_and_pink_leafblower,green and pink leafblower,-1376.876536766449,670,0,0,2.5079073523509945,0,0,timeout
73,18,fr_071353_q00198,green_and_pink_leafblower,green and pink leafblower,-7.401652916630095,670,0,0,0.12796236654409035,0,0,timeout
74,18,fr_071353_q00139,green_and_pink_leafblower,green and pink leafblower,-17.403024704814733,670,0,0,0.19416631697590475,0,0,timeout
75,18,fr_071353_q00070,green_clock,green clock,16.63983145514088,147,1,1,0.38972792605042356,0,0,goal_reached
76,18,fr_071353_q00125,green_and_pink_leafblower,green and pink leafblower,22.40151687804707,213,1,1,0.2908734920337124,0,0,goal_reached
77,19,fr_071353_q00027,green_clock,green clock,17.216308927085134,147,1,1,0.36102885231154613,0,0,goal_reached
78,19,fr_071353_q00138,green_and_pink_leafblower,green and pink leafblower,-20.231016385227385,670,0,0,0.2237921745471225,0,0,timeout
79,19,fr_071353_q00119,green_and_pink_leafblower,green and pink leafblower,-23.1144651883245,670,0,0,0.3372896973165248,0,0,timeout
80,19,fr_071353_q00218,green_and_pink_leafblower,green and pink leafblower,20.245585413799006,165,1,1,0.44830653848168917,0,0,goal_reached
81,20,fr_071353_q00153,green_and_pink_leafblower,green and pink leafblower,-17.91508769318521,670,0,0,0.23647017006962076,0,0,timeout
82,20,fr_071353_q00133,green_and_pink_leafblower,green and pink leafblower,17.09343366356258,162,1,1,0.2748945512866655,0,0,goal_reached
83,20,fr_071353_q00026,green_clock,green clock,12.497404113954069,245,1,1,0.4604279494781174,0,0,goal_reached
84,20,fr_071353_q00119,green_and_pink_leafblower,green and pink leafblower,-22.058257848724665,670,0,0,0.13597555373894557,0,0,timeout
85,21,fr_071353_q00043,green_clock,green clock,24.512221040455906,196,1,1,0.3650538864034992,0,0,goal_reached
86,21,fr_071353_q00088,green_clock,green clock,11.815453026551072,316,1,1,0.30468056577251085,0,0,goal_reached
87,21,fr_071353_q00128,green_and_pink_leafblower,green and pink leafblower,-23.2543816303928,670,0,0,0.1793550277877656,0,0,timeout
88,21,fr_071353_q00027,green_clock,green clock,17.536058365149145,147,1,1,0.34164748328862454,0,0,goal_reached
89,22,fr_071353_q00109,green_clock,green clock,9.061631520851503,88,1,1,0.49273679633787626,0,0,goal_reached
90,22,fr_071353_q00076,green_clock,green clock,11.215942993334036,91,1,1,0.24358497270829238,0,0,goal_reached
91,22,fr_071353_q00026,green_clock,green clock,9.813080260430066,244,1,1,0.4587841969980768,0,0,goal_reached
92,22,fr_071353_q00088,green_clock,green clock,11.899409487009567,268,1,1,0.3053518076600913,0,0,goal_reached
93,23,fr_071353_q00196,green_and_pink_leafblower,green and pink leafblower,-626.1553683153961,670,0,0,2.276587319172862,0,0,timeout
94,23,fr_071353_q00138,green_and_pink_leafblower,green and pink leafblower,-18.243677888867886,670,0,0,0.2241182842982568,0,0,timeout
95,23,fr_071353_q00027,green_clock,green clock,17.523609163607308,145,1,1,0.3159447505332388,0,0,goal_reached
