iteration,algorithm,mean_return,mean_steps,success_rate,policy_loss,value_loss,entropy,approx_kl,ref_kl,q1_loss,q2_loss,alpha,bc_mse
0,sac,-17.91180585301636,670.0,0.0,0.0,,,,0.0,0.014830004423856735,0.14235591888427734,0.0,0.0
1,sac,-153.70705746121874,443.5,0.25,0.0,,,,0.0,0.7237769365310669,0.8492668867111206,0.0,0.0
2,sac,-10.67536678557061,538.25,0.25,0.0,,,,0.0,1.7019176483154297,1.693359613418579,0.0,0.0
3,sac,-9.540032800387044,280.75,0.5,0.0,,,,0.0,0.39016222953796387,0.4163534939289093,0.0,0.0
4,sac,-558.6973384899693,578.75,0.25,0.0,,,,0.0,2.338676929473877,2.4489665031433105,0.0,0.0
5,sac,10.39430348571901,339.5,0.75,0.0,,,,0.0,0.5028810501098633,0.5834782719612122,0.0,0.0
6,sac,-533.1903430489365,561.5,0.25,0.0,,,,0.0,0.7672324180603027,0.8846544623374939,0.0,0.0
7,sac,-600.3959118548808,542.25,0.25,0.0,,,,0.0,2.397608757019043,2.585444688796997,0.0,0.0
8,sac,15.532334071991977,139.25,1.0,0.0,,,,0.0,2.0611183643341064,2.208165407180786,0.0,0.0
9,sac,13.682911326092148,319.25,0.75,0.0,,,,0.0,0.5913228392601013,0.7358593344688416,0.0,0.0
10,sac,-1.1862774641223535,549.75,0.25,0.0,,,,0.0,0.4388389587402344,0.5938550233840942,0.0,0.0
11,sac,-8.898137822112819,525.25,0.25,0.0,,,,0.0,2.138035535812378,2.2838432788848877,0.0,0.0
12,sac,-301.46414556602105,417.25,0.5,0.0,,,,0.0,0.49073565006256104,0.6161158084869385,0.0,0.0
13,sac,-13.025336115311699,372.75,0.25,0.0,,,,0.0,0.2454797625541687,0.34463176131248474,0.0,0.0
14,sac,-16.815965072450986,357.75,0.25,0.0,,,,0.0,0.30588197708129883,0.3103982210159302,0.0,0.0
15,sac,-580.0128038609226,346.25,0.0,0.0,,,,0.0,0.4299476146697998,0.483009397983551,0.0,0.0
16,sac,-14.018085071926029,670.0,0.0,0.0,,,,0.0,0.28113192319869995,0.3334576487541199,0.0,0.0
17,sac,-333.1495628980291,448.25,0.5,0.0,,,,0.0,0.30973392724990845,0.33670711517333984,0.0,0.0
18,sac,3.55916767793578,425.0,0.5,0.0,,,,0.0,1.8232585191726685,1.922473669052124,0.0,0.0
19,sac,-1.4708968081669358,413.0,0.5,0.0,,,,0.0,1.9307265281677246,2.0366132259368896,0.0,0.0
20,sac,-2.595626941098307,436.75,0.5,0.0,,,,0.0,1.9820650815963745,2.023711681365967,0.0,0.0
21,sac,7.652337700440832,332.25,0.75,0.0,,,,0.0,0.23391401767730713,0.26585105061531067,0.0,0.0
22,sac,10.497516065406293,172.75,1.0,0.0,,,,0.0,0.5462861061096191,0.6339676380157471,0.0,0.0
23,sac,-161.91337642668128,538.75,0.25,0.0,,,,0.0,0.512182354927063,0.5688266158103943,0.0,0.0
24,sac,-32.71336759559164,346.25,0.0,0.0,,,,0.0,0.16408418118953705,0.20870673656463623,0.0,0.0
25,sac,1.905456651609562,389.75,0.5,0.0,,,,0.0,9.517303466796875,9.527154922485352,0.0,0.0
26,sac,-303.60747807758025,372.0,0.75,0.0,,,,0.0,0.3267097473144531,0.37662452459335327,0.0,0.0
27,sac,-443.31642739496743,558.5,0.25,0.0,,,,0.0,11.151758193969727,11.171829223632812,0.0,0.0
28,sac,1.6722100304195195,404.25,0.5,0.0,,,,0.0,0.5430928468704224,0.5939655900001526,0.0,0.0
29,sac,-17.337407696287244,375.75,0.25,0.0,,,,0.0,0.3775904178619385,0.4353184700012207,0.0,0.0
30,sac,3.8987434962186835,445.5,0.5,0.0,,,,0.0,0.38597816228866577,0.4266210198402405,0.0,0.0
